Raw Characteristics,Parse Success,Listing ID,Price per unit,Location,EPC,Available from,Usable area,Floor,Condition,Layout,Age,Plot space,Total floors,Plot type
"{""Listing ID"": ""904366"", ""Available from"": ""08/06/2025"", ""Condition"": ""Before reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,447/ m2"", ""Užitná plocha"": ""302m²"", ""Plot space"": ""1,706m²"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""3"", """": ""Garage""}",True,904366,"€2,447/ m2",,G - Extremely uneconomical,08/06/2025,302m²,,Before reconstruction,,Over 50 years,"1,706m²",3,
"{""Listing ID"": ""904367"", ""Layout"": ""1 bedroom"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""44m²"", ""Available from"": ""08/06/2025"", ""EPC"": ""F - Very uneconomical"", ""Price per unit"": ""€4,091/ m2"", """": ""MHD 3 minutes on foot""}",True,904367,"€4,091/ m2",,F - Very uneconomical,08/06/2025,44m²,,After reconstruction,1 bedroom,Over 50 years,,,
"{""Listing ID"": ""904368"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""54m²"", ""Available from"": ""01/08/2025"", ""Floor"": ""3. podlaží z 3"", ""Price per unit"": ""€2,574/ m2"", """": ""MHD 2 minutes on foot""}",True,904368,"€2,574/ m2",,,01/08/2025,54m²,3. podlaží z 3,Good,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""904370"", ""Layout"": ""Studio"", ""Condition"": ""Good"", ""EPC"": ""E - Wasteful"", ""Price per unit"": ""€3,650/ m2"", ""Užitná plocha"": ""40m²"", ""Available from"": ""08/06/2025"", ""Floor"": ""4. podlaží z 4"", ""Age"": ""Over 50 years"", """": ""MHD 0 minutes on foot""}",True,904370,"€3,650/ m2",,E - Wasteful,08/06/2025,40m²,4. podlaží z 4,Good,Studio,Over 50 years,,,
"{""Listing ID"": ""904371"", ""Layout"": ""5+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,035/ m2"", ""Užitná plocha"": ""141m²"", ""Plot space"": ""781m²"", ""EPC"": ""A - Extremely economical"", ""Total floors"": ""2"", """": ""Parking""}",True,904371,"€4,035/ m2",,A - Extremely economical,,141m²,,Good,5+1,Over 50 years,781m²,2,
"{""Listing ID"": ""904372"", ""Layout"": ""2+kk"", ""Condition"": ""Good"", ""Užitná plocha"": ""52m²"", ""Available from"": ""01/08/2025"", ""Price per unit"": ""€11/ m2"", """": ""MHD 4 minutes on foot""}",True,904372,€11/ m2,,,01/08/2025,52m²,,Good,2+kk,,,,
"{""Listing ID"": ""904373"", ""Layout"": ""7+1"", ""Plot space"": ""673m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""220m²"", ""Available from"": ""08/06/2025"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,264/ m2"", """": ""MHD 4 minutes on foot""}",True,904373,"€2,264/ m2",,D - Less economical,08/06/2025,220m²,,Good,7+1,Over 50 years,673m²,2,
"{""Listing ID"": ""904375"", ""Available from"": ""08/06/2025"", ""Condition"": ""After reconstruction"", ""Total floors"": ""4"", ""Užitná plocha"": ""831m²"", ""Plot space"": ""820m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€1,081/ m2"", """": ""MHD 1 minute on foot""}",True,904375,"€1,081/ m2",,,08/06/2025,831m²,,After reconstruction,,Over 50 years,820m²,4,
"{""Listing ID"": ""904377"", ""Layout"": ""2+kk"", ""Condition"": ""Good"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€2,750/ m2"", ""Užitná plocha"": ""60m²"", ""Available from"": ""01/08/2025"", ""Floor"": ""5. podlaží z 5"", ""Age"": ""Over 50 years"", """": ""Lift""}",True,904377,"€2,750/ m2",,D - Less economical,01/08/2025,60m²,5. podlaží z 5,Good,2+kk,Over 50 years,,,
"{""Listing ID"": ""904378"", ""Layout"": ""5+1"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,089/ m2"", ""Užitná plocha"": ""157m²"", ""Plot space"": ""330m²"", ""EPC"": ""A - Extremely economical"", ""Total floors"": ""2"", """": ""Garage""}",True,904378,"€5,089/ m2",,A - Extremely economical,,157m²,,Very good,5+1,Over 50 years,330m²,2,
