Raw Characteristics,Parse Success,Listing ID,Price per unit,Floor,Condition,Location,Available from,Usable area,Layout,EPC,Plot space,Plot type,Age,Total floors
"{""Listing ID"": ""905783"", ""Layout"": ""5+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,494/ m2"", ""Užitná plocha"": ""162m²"", ""Plot space"": ""1,500m²"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""1"", """": ""Garage""}",True,905783,"€5,494/ m2",,After reconstruction,,,162m²,5+1,G - Extremely uneconomical,"1,500m²",,Over 50 years,1
"{""Listing ID"": ""905788"", ""Layout"": ""2 bedroom"", ""Condition"": ""New-build"", ""Užitná plocha"": ""38m²"", ""Plot space"": ""200m²"", ""Price per unit"": ""€1,132/ m2"", """": ""MHD 0 minutes on foot""}",True,905788,"€1,132/ m2",,New-build,,,38m²,2 bedroom,,200m²,,,
"{""Listing ID"": ""905790"", ""Layout"": ""3+1"", ""Price per unit"": ""€3,827/ m2"", ""Užitná plocha"": ""81m²"", ""Condition"": ""After reconstruction"", """": ""MHD 1 minute on foot""}",True,905790,"€3,827/ m2",,After reconstruction,,,81m²,3+1,,,,,
"{""Listing ID"": ""905792"", ""Layout"": ""2 bedroom"", ""Užitná plocha"": ""75m²"", ""Price per unit"": ""€22/ m2"", """": ""Lift""}",True,905792,€22/ m2,,,,,75m²,2 bedroom,,,,,
"{""Listing ID"": ""905795"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€2,184/ m2"", ""Užitná plocha"": ""87m²"", ""Available from"": ""03/06/2025"", ""Floor"": ""1. podlaží"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,905795,"€2,184/ m2",1. podlaží,Good,,03/06/2025,87m²,3+1,D - Less economical,,,Over 50 years,
"{""Listing ID"": ""905796"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""62m²"", ""Available from"": ""01/07/2025"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€22/ m2"", """": ""MHD 2 minutes on foot""}",True,905796,€22/ m2,,Good,,01/07/2025,62m²,2 bedroom,D - Less economical,,,Over 50 years,
"{""Listing ID"": ""905797"", ""Layout"": ""3+1"", ""Floor"": ""1. podlaží z 2"", ""Price per unit"": ""€5,165/ m2"", ""Užitná plocha"": ""85m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Cellar""}",True,905797,"€5,165/ m2",1. podlaží z 2,Good,,,85m²,3+1,,,,Over 50 years,
"{""Listing ID"": ""905800"", ""Layout"": ""3+1"", ""Floor"": ""3. podlaží z 6"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""99m²"", ""Condition"": ""Very good"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€5,293/ m2"", """": ""Garage""}",True,905800,"€5,293/ m2",3. podlaží z 6,Very good,,,99m²,3+1,A - Extremely economical,,,Over 50 years,
"{""Listing ID"": ""905801"", ""Layout"": ""2 bedroom"", ""Floor"": ""Ground floor"", ""Price per unit"": ""€18/ m2"", ""Užitná plocha"": ""76m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""MHD 1 minute on foot""}",True,905801,€18/ m2,Ground floor,Good,,,76m²,2 bedroom,,,,Over 50 years,
"{""Listing ID"": ""905802"", ""Layout"": ""5+1"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€3,043/ m2"", ""Užitná plocha"": ""115m²"", ""Plot space"": ""1,000m²"", ""Total floors"": ""2"", """": ""Garage""}",True,905802,"€3,043/ m2",,After reconstruction,,,115m²,5+1,,"1,000m²",,,2
