Raw Characteristics,Parse Success,Listing ID,Price per unit,Floor,Condition,Location,Available from,Usable area,Layout,EPC,Plot space,Plot type,Age,Total floors
"{""Listing ID"": ""872788"", ""Layout"": ""Studio"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""C - Economical"", ""Heating"": ""Distance"", ""Price per unit"": ""CZK 186,111/ m2"", ""Užitná plocha"": ""36m²"", ""Location"": ""The quiet part"", ""Available from"": ""17/03/2025"", ""Floor"": ""5. podlaží z 6"", ""Building construction"": ""Brick"", ""Age"": ""10 to 30 years"", ""Designe"": ""Standard"", """": ""MHD 4 minutes on foot""}",True,872788.0,"CZK 186,111/ m2",5. podlaží z 6,Very good,The quiet part,17/03/2025,36m²,Studio,C - Economical,,,10 to 30 years,
"{""Listing ID"": ""907123"", ""Layout"": ""Studio"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Heating"": ""Electric boiler"", ""Designe"": ""Standard"", ""Užitná plocha"": ""29m²"", ""Location"": ""Centre"", ""Available from"": ""19/05/2025"", ""Floor"": ""4. podlaží z 6"", ""Building construction"": ""Brick"", ""Age"": ""Over 50 years"", ""Reconstruction"": ""Complete"", ""Price per unit"": ""CZK 178,966/ m2"", """": ""Basement: 3 m²""}",True,907123.0,"CZK 178,966/ m2",4. podlaží z 6,Very good,Centre,19/05/2025,29m²,Studio,G - Extremely uneconomical,,,Over 50 years,
"{""Listing ID"": ""907129"", ""Layout"": ""Other"", ""Fully furnished"": ""Partly"", ""Plot space"": ""296m²"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""189m²"", ""Poloha domu"": ""Corner"", ""Available from"": ""15/09/2025"", ""Condition"": ""Good"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 103,175/ m2"", """": ""Terrace/deck: 18 m²""}",True,907129.0,"CZK 103,175/ m2",,Good,,15/09/2025,189m²,Other,G - Extremely uneconomical,296m²,,,
"{""Listing ID"": ""858411"", ""Layout"": ""3+1"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""After reconstruction"", ""Ownership"": ""Cooperative"", ""EPC"": ""G - Extremely uneconomical"", ""Reconstruction"": ""Complete"", ""Užitná plocha"": ""66m²"", ""Location"": ""The quiet part"", ""Available from"": ""01/10/2024"", ""Floor"": ""3. podlaží z 6"", ""Building construction"": ""Prefab concrete"", ""Heating"": ""Central"", ""Price per unit"": ""CZK 48,485/ m2"", """": ""MHD 2 minutes on foot""}",True,858411.0,"CZK 48,485/ m2",3. podlaží z 6,After reconstruction,The quiet part,01/10/2024,66m²,3+1,G - Extremely uneconomical,,,,
"{""Listing ID"": ""898885"", ""Layout"": ""Other"", ""Fully furnished"": ""Partly"", ""Plot space"": ""285m²"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""CZK 108,904/ m2"", ""Užitná plocha"": ""146m²"", ""Poloha domu"": ""Corner"", ""Available from"": ""22/04/2025"", ""Condition"": ""Very good"", ""Building construction"": ""Mixed"", ""Low-energy"": ""Yes"", """": ""Parking""}",True,898885.0,"CZK 108,904/ m2",,Very good,,22/04/2025,146m²,Other,B - Very economical,285m²,,,
"{""Listing ID"": ""840477"", ""Location"": ""The quiet part"", ""Available from"": ""22/07/2025"", ""Price per unit"": ""CZK 1,201/ m2"", ""Užitná plocha"": ""90m²"", ""Fully furnished"": ""Fully furnished"", ""Floor"": ""3. podlaží"", """": ""MHD 6 minutes on foot""}",True,840477.0,"CZK 1,201/ m2",3. podlaží,,The quiet part,22/07/2025,90m²,,,,,,
"{""Listing ID"": ""908236"", ""Poloha nebytového prostoru"": ""Separate"", ""Fully furnished"": ""Partly"", ""Condition"": ""New-build"", ""Price per unit"": ""CZK 400/ m2"", ""Plocha nebytového prostoru"": ""30m²"", ""Location"": ""Centre"", ""Available from"": ""31/08/2025"", ""Building construction"": ""Brick"", """": ""Pets are welcome""}",True,908236.0,CZK 400/ m2,,New-build,Centre,31/08/2025,,,,,,,
"{""Listing ID"": ""907395"", ""Layout"": ""3+1"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""C - Economical"", ""Užitná plocha"": ""81m²"", ""Location"": ""Centre"", ""Available from"": ""20/05/2025"", ""Floor"": ""3. podlaží z 6"", ""Building construction"": ""Prefab concrete"", ""Price per unit"": ""CZK 142,951/ m2"", """": ""Lift""}",True,907395.0,"CZK 142,951/ m2",3. podlaží z 6,Very good,Centre,20/05/2025,81m²,3+1,C - Economical,,,,
"{""Listing ID"": ""907458"", ""Layout"": ""3+kk"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""New-build"", ""Ownership"": ""Cooperative"", ""EPC"": ""B - Very economical"", ""Užitná plocha"": ""149m²"", ""Location"": ""Centre"", ""Available from"": ""20/05/2025"", ""Floor"": ""6. podlaží z 6"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 70,463/ m2"", """": ""Lift""}",True,907458.0,"CZK 70,463/ m2",6. podlaží z 6,New-build,Centre,20/05/2025,149m²,3+kk,B - Very economical,,,,
"{""Listing ID"": ""907127"", ""Layout"": ""4+1"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""D - Less economical"", ""Užitná plocha"": ""87m²"", ""Location"": ""The quiet part"", ""Available from"": ""19/05/2025"", ""Floor"": ""6. podlaží z 8"", ""Building construction"": ""Prefab concrete"", ""Price per unit"": ""CZK 114,374/ m2"", """": ""Lift""}",True,907127.0,"CZK 114,374/ m2",6. podlaží z 8,Very good,The quiet part,19/05/2025,87m²,4+1,D - Less economical,,,,
